X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-115.444633,56.179683,NAT97-224,22,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.23,0,18.37,8.92,9.74,38.99,22.31,0.02,0.43,99,,,C
-115.753433,56.847983,NAT95-134,68,G_12_KNORRINGITIC_UVAROVITE_PYROPE  ,Garnet,0.04,9.77,7.76,15.49,8.46,40.33,16.63,0.01,0.51,99,,,A
-115.2836,56.772,NAT97-166,49,ALMANDINE  ,Garnet,0.03,0.03,31.89,1.06,7.97,36.54,20.67,0.02,0.77,98.98,,,B
-115.17525,57.97495,NAT97-225,21,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.09,0.04,21.7,4.21,12.19,38.48,21.57,0.05,0.65,98.98,,,D
-115.307217,56.163817,NAT97-168,53,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.01,0.01,30.27,1.15,7.38,36.66,21.21,0,2.26,98.96,,,B
-115.75395,56.847233,NAT96-216,66,G_09_CHROME_PYROPE  ,Garnet,0.02,4.77,7.87,18.73,5.62,41.4,20,0.03,0.52,98.96,,,D
-118.650834,54.463445,NAT96-179,24,G_06_PYROPE_GROSSULAR_ALMANDINE  ,Garnet,0.21,0.02,15.26,9.31,12,39.3,22.46,0.04,0.34,98.94,,,B
-115.307217,56.163817,NAT97-169,1,G_01_TITANIAN_PYROPE  ,Garnet,0.43,4.29,7.25,20.95,4.97,41.39,19.4,0.03,0.24,98.93,,,B
-115.799051,56.452099,PR95-11,637,G_09_CHROME_PYROPE  ,Garnet,0.32,3.49,7.16,20.35,4.7,42.18,20.45,0.03,0.25,98.93,,,C
-119.7898,54.92245,NAT96-212,92,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.01,0.02,26.07,9.63,0.9,39.01,22.59,0.01,0.67,98.91,,,D
-119.611723,54.741571,NAT96-187,51,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0,0.07,23.55,11.5,1.17,39.88,22.32,0,0.4,98.89,,,C
-115.75395,56.847233,NAT96-216,68,G_09_CHROME_PYROPE  ,Garnet,0.05,4.76,7.7,18.88,5.27,41.74,20.02,0.03,0.42,98.86,,,A
-118.257426,54.93817,NAT96-198,6,G_07_FE-MAG_UVAROVITE_GROSSULAR  ,Garnet,0.5,8.85,4.75,5.29,25.5,38.96,14.69,0.04,0.27,98.85,,,E
-115.753433,56.847983,NAT95-134,58,G_09_CHROME_PYROPE  ,Garnet,0.04,5.25,7.92,18.65,5.62,40.68,20.33,0.01,0.33,98.84,,,E
-115.75395,56.847233,NAT96-216,30,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.03,7.5,7.8,17.41,6.53,41.16,17.93,0.02,0.46,98.83,,,D
-115.75395,56.847233,NAT96-216,36,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.15,7.01,8.05,17.7,5.92,41.59,17.87,0.04,0.5,98.83,,,D
-115.2836,56.772,NAT97-166,48,ALMANDINE  ,Garnet,0.1,0.02,30.73,1.76,7.58,36.87,20.71,0.02,1.02,98.82,,,E
-115.508017,56.7387,NAT97-227,83,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.08,0.04,29.98,3.07,6.51,37.26,21.06,0,0.82,98.82,,,D
-117.723489,55.419501,PR95-3B,635,G_09_CHROME_PYROPE  ,Garnet,0.06,4.54,8.2,18.37,6.25,39.73,21.21,0.01,0.45,98.82,,,E
-115.2836,56.772,NAT97-165,14,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.15,9.12,6.51,19.98,5.11,40.75,16.87,0.04,0.29,98.82,,,A
-118.30455,54.7934,NAT97-222,28,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.03,0,27.11,5.12,6.48,38.13,21.4,0,0.55,98.81,,,A
-115.753433,56.847983,NAT95-134,61,G_09_CHROME_PYROPE  ,Garnet,0.14,3.94,8.04,19.18,4.99,40.95,21.18,0.03,0.36,98.81,,,A
-117.052159,56.037584,LEL94-1,631,G_09_CHROME_PYROPE  ,Garnet,0.03,5.88,7.82,18.33,6.17,40.09,20.08,0.02,0.39,98.81,,,B
-115.203283,56.926133,NAT97-164,43,ALMANDINE  ,Garnet,0.06,0,30.67,1.02,8.69,36.77,20.75,0,0.83,98.8,,,C
-115.753433,56.847983,NAT95-134,67,G_09_CHROME_PYROPE  ,Garnet,0.19,4.07,8.2,19.32,4.91,40.29,21.43,0.04,0.34,98.8,,,E
-115.307217,56.163817,NAT97-168,13,G_09_CHROME_PYROPE  ,Garnet,0.15,5.37,7.73,18.95,5.98,40.92,19.27,0.05,0.4,98.8,,,D
-115.973889,56.926389,NAT95-146,127,HYDROGROSSULAR  ,Garnet,0.96,0,5.56,0.11,36.08,36.88,19.19,0.02,0.01,98.8,,,E
-115.17525,57.97495,NAT97-225,82,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.08,0.03,30.14,2.52,7.31,36.8,21.12,0,0.79,98.79,,,E
-118.168241,54.575267,NAT96-159,1,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.09,0.01,22.91,5.66,10.03,37.11,22.18,0,0.78,98.77,,,D
-118.650834,54.463445,NAT96-179,22,GROSSULAR  ,Garnet,0.42,0.01,14.16,0.11,31.28,37.92,12.29,0,2.57,98.76,,,C
-115.753433,56.847983,NAT95-134,606,G_09_CHROME_PYROPE  ,Garnet,0,6.37,8.02,17.15,7.14,40.51,19.05,0.01,0.46,98.73,,,B
-118.685816,54.652816,NAT97-218,72,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.15,0.04,22.83,3.25,13.1,37.55,21.02,0,0.78,98.72,,,D
-114.73386,56.215773,NAT95-131,620,G_01_TITANIAN_PYROPE  ,Garnet,0.59,2.26,7.11,21.08,4.73,41.45,21.13,0.08,0.25,98.69,,,E
-115.75395,56.847233,NAT96-216,56,G_09_CHROME_PYROPE  ,Garnet,0,5.85,7.87,17.56,6.5,40.93,19.52,0,0.45,98.69,,,D
-115.203283,56.926133,NAT97-163,39,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.02,0.01,30.08,3.44,6.25,37.35,20.94,0.01,0.58,98.68,,,D
-119.611723,54.741571,NAT96-187,48,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.05,0.01,24.31,10.06,2.7,39.33,21.81,0.04,0.37,98.68,,,E
-115.75395,56.847233,NAT96-216,37,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0,6.33,7.71,18.2,5.94,41.14,18.79,0.02,0.56,98.68,,,C
-115.75395,56.847233,NAT96-216,77,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.04,7.54,7.96,17.31,6.67,40.64,17.95,0.04,0.53,98.68,,,B
-119.149878,57.493231,NAT97-204,64,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.04,0.07,29.46,2.46,7.53,37.18,21.11,0.01,0.79,98.66,,,B
-115.307217,56.163817,NAT97-168,12,G_09_CHROME_PYROPE  ,Garnet,0.09,4.9,6.91,19.82,5.16,41.46,19.92,0.03,0.37,98.66,,,A
-115.799051,56.452099,PR95-11,636,G_11_UVAROVITE_PYROPE  ,Garnet,0.75,6.52,8.52,17.97,5.93,40.3,18.26,0.07,0.34,98.66,,,B
-119.050955,54.08594,NAT96-175,17,GROSSULAR  ,Garnet,0.49,0,6.28,0.06,34.28,38.31,18.44,0.04,0.78,98.66,,,D
-119.149878,57.493231,NAT97-204,65,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.05,0.03,26.18,4.8,7.01,38.13,21.71,0.03,0.69,98.65,,,D
-118.30455,54.7934,NAT97-222,75,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.01,0.09,28.02,5.75,5.38,37.26,21.79,0,0.34,98.64,,,C
-115.307217,56.163817,NAT97-168,11,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.16,5.86,7.44,19.94,5.14,40.66,19.08,0,0.33,98.62,,,A
-115.75395,56.847233,NAT96-216,79,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.04,8.69,7.51,16.71,7.32,40.74,17.05,0.01,0.55,98.62,,,C
-115.203283,56.926133,NAT97-164,44,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.02,0.04,29.42,1.92,7.12,37.07,21.17,0.02,1.85,98.61,,,B
-115.75395,56.847233,NAT96-216,105,G_09_CHROME_PYROPE  ,Garnet,0.01,3.43,8.02,18.84,5.45,41.63,20.76,0.03,0.44,98.61,,,B
-119.149878,57.493231,NAT97-204,18,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.26,0,30.17,3.15,4.54,37.02,20.74,0.06,2.64,98.58,,,B
-115.85457,56.157598,NAT95-141,627,G_11_UVAROVITE_PYROPE  ,Garnet,0.24,7.29,8.09,16.7,7.81,39.42,18.51,0.03,0.49,98.58,,,E
-115.753433,56.847983,NAT95-134,81,G_09_CHROME_PYROPE  ,Garnet,0.25,3.94,8.82,18.14,5.29,40.97,20.68,0.02,0.43,98.55,,,A
-115.753433,56.847983,NAT95-134,79,G_09_CHROME_PYROPE  ,Garnet,0,3.82,7.24,18.7,5.75,40.84,21.69,0.01,0.49,98.53,,,C
-111.982222,57.536667,NAT95-125,14,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.11,0.09,25.07,3.93,9.05,37.66,21.4,0.02,1.12,98.44,,,C
-115.75395,56.847233,NAT96-216,75,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.14,7.83,7.66,17.33,6.44,40.62,17.91,0.05,0.46,98.44,,,D
-118.859667,54.554,NAT96-200,81,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0,0.05,24.51,10.71,1.11,39.23,22.48,0.02,0.33,98.43,,,E
-117.052159,56.037584,LEL94-1,630,G_09_CHROME_PYROPE  ,Garnet,0.01,5.04,8.05,18.18,5.98,39.99,20.71,0.03,0.39,98.38,,,C
