X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-112.946578,55.138726,NAT95-126,126,GROSSULAR  ,Garnet,0.3,11.09,0.45,0.23,34.67,37.03,11.4,0.02,0.38,95.57,,,D
-117.434254,56.944689,LEL94-6,93,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.17,0.04,13.06,0,22.69,36.78,22.65,0,0.09,95.48,,,E
-115.75395,56.847233,NAT96-216,81,G_09_CHROME_PYROPE  ,Garnet,0.02,3.2,8.87,17.4,4.7,40.21,20.32,0.04,0.63,95.39,,,E
-115.799051,56.452099,PR95-11,107,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.02,0,13.73,0,22.43,36.19,22.67,0.01,0.06,95.11,,,E
-117.434254,56.944689,LEL94-6,89,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.07,0,14.01,0.02,21.64,36.59,21.91,0.03,0.44,94.71,,,E
-117.298613,56.98102,LEL94-4,87,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.02,0.02,12.18,0.01,21.76,36.89,23.77,0,0.04,94.69,,,C
-114.73386,56.215773,NAT95-131,621,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.06,0.1,11.05,0.04,22.5,37,23.77,0.03,0.1,94.65,,,C
-115.75395,56.847233,NAT96-216,82,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.24,3.26,13.75,16.14,4.5,37.48,18.37,0.08,0.39,94.19,,,E
-119.0745,54.42425,NAT96-196,12,UNKNOWN  (Grossular?),Garnet,0.03,0.01,17.3,0,22.19,32.41,21.06,0.03,0.08,93.11,,,A
-117.616137,55.142215,SB94-15,119,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.09,0,9.36,2.59,21.96,36.96,21,0.06,0.05,92.06,,,E
-115.75395,56.847233,NAT96-216,84,G_09_CHROME_PYROPE  ,Garnet,0.1,6.76,11.42,15.52,5.66,35.83,15.69,0.04,0.38,91.4,,,A
-115.75395,56.847233,NAT96-216,83,UNKNOWN  G1/G2??,Garnet,2.15,0.04,12.84,14.32,3.32,37.97,15.36,0.08,0.16,86.23,,,D
-115.75395,56.847233,NAT96-216,65,UNKNOWN  G9??,Garnet,0.03,3.17,9.11,15.08,4.56,31.83,16.9,0.05,0.56,81.29,,,E
