HOLEID,PROJECTCODE,SAMPLENO,FROM,TO,MidEast,MidNorth,MidRL,SAMPLETYPE,PRIORITY,Au_ppb,Zn_pct
19DD0002,CU_CLIFF,40377805,102,105,101612.3823,2189157.208,1143.325953,QuarterCore,1,9,0.00143
19DD0002,CU_CLIFF,40377806,105,108,101612.2462,2189156.767,1140.361751,QuarterCore,1,1,0.00033
19DD0002,CU_CLIFF,40377807,108,110.03,101612.1308,2189156.397,1137.87667,QuarterCore,1,0.5,0.00038
19DD0002,CU_CLIFF,40377808,110.03,113,101612.0142,2189156.032,1135.406276,QuarterCore,1,0.5,0.00035
19DD0002,CU_CLIFF,40377809,113,116,101611.875,2189155.596,1132.456626,QuarterCore,1,1,0.00041
19DD0002,CU_CLIFF,40377811,116,119,101611.7351,2189155.157,1129.492153,QuarterCore,1,1,0.00222
19DD0002,CU_CLIFF,40377812,119,122,101611.5933,2189154.72,1126.52754,QuarterCore,1,4,0.0063
19DD0002,CU_CLIFF,40377813,122,125.1,101611.447,2189154.277,1123.513375,QuarterCore,1,24,0.00756
19DD0002,CU_CLIFF,40377814,125.1,127,101611.3272,2189153.915,1121.042748,QuarterCore,1,22,0.00848
19DD0002,CU_CLIFF,40377815,127,128.55,101611.2445,2189153.664,1119.338015,QuarterCore,1,3,0.0031
19DD0002,CU_CLIFF,40377816,128.55,131,101611.147,2189153.375,1117.361395,QuarterCore,1,14,0.00724
19DD0002,CU_CLIFF,40377817,131,134,101611.0129,2189152.983,1114.668149,QuarterCore,1,46,0.00521
19DD0002,CU_CLIFF,40377818,134,137,101610.8652,2189152.551,1111.703107,QuarterCore,1,44,0.00477
19DD0002,CU_CLIFF,40377819,137,140,101610.7174,2189152.119,1108.738065,QuarterCore,1,37,0.00928
19DD0002,CU_CLIFF,40377821,140,143,101610.5679,2189151.688,1105.772882,QuarterCore,1,14,0.00176
19DD0002,CU_CLIFF,40377822,143,146,101610.4164,2189151.259,1102.807556,QuarterCore,1,12,0.00194
19DD0002,CU_CLIFF,40377823,146,149,101610.265,2189150.83,1099.84223,QuarterCore,1,73,0.00472
19DD0002,CU_CLIFF,40377825,149,151.45,101610.1256,2189150.442,1097.148688,QuarterCore,1,34,0.00937
19DD0002,CU_CLIFF,40377826,151.45,154.25,101609.9893,2189150.069,1094.553946,QuarterCore,1,12,0.00539
19DD0002,CU_CLIFF,40377827,154.25,157,101609.8452,2189149.674,1091.810933,QuarterCore,1,1,0.00156
19DD0002,CU_CLIFF,40377828,157,160,101609.6958,2189149.265,1088.969073,QuarterCore,1,0.5,0.00118
19DD0002,CU_CLIFF,40377829,160,163,101609.5372,2189148.839,1086.003779,QuarterCore,1,2,0.0015
19DD0002,CU_CLIFF,40377831,163,166,101609.3758,2189148.412,1083.038612,QuarterCore,1,1,0.00111
19DD0002,CU_CLIFF,40377832,166,168,101609.2413,2189148.057,1080.567639,QuarterCore,1,1,0.00141
19DD0002,CU_CLIFF,40377833,168,169.24,101609.1542,2189147.827,1078.966449,QuarterCore,1,1,0.00425
19DD0002,CU_CLIFF,40377834,169.24,170.89,101609.075,2189147.622,1077.538294,QuarterCore,1,18,0.01705
19DD0002,CU_CLIFF,40377835,170.89,172.26,101608.9911,2189147.407,1076.045948,QuarterCore,1,12,0.00369
19DD0002,CU_CLIFF,40377836,172.26,175,101608.8769,2189147.115,1074.014975,QuarterCore,1,15,0.00664
19DD0002,CU_CLIFF,40377837,175,177,101608.7453,2189146.779,1071.672684,QuarterCore,1,17,0.00333
19DD0002,CU_CLIFF,40377838,177,179.11,101608.6311,2189146.487,1069.641711,QuarterCore,1,12,0.0106
19DD0002,CU_CLIFF,40377839,179.11,180.65,101608.5282,2189146.228,1067.838115,QuarterCore,1,8,0.00627
19DD0002,CU_CLIFF,40377841,180.65,182.42,101608.4331,2189145.993,1066.202608,QuarterCore,1,33,0.00941
19DD0002,CU_CLIFF,40377842,182.42,184,101608.3369,2189145.756,1064.547337,QuarterCore,1,47,0.00892
19DD0002,CU_CLIFF,40377843,184,186,101608.234,2189145.502,1062.77842,QuarterCore,1,21,0.00699
19DD0002,CU_CLIFF,40377845,186,187.86,101608.1231,2189145.228,1060.871152,QuarterCore,1,9,0.00326
19DD0002,CU_CLIFF,40377846,187.86,190,101608.0082,2189144.945,1058.894709,QuarterCore,1,2,0.00074
19DD0002,CU_CLIFF,40377847,190,193,101607.8577,2189144.58,1056.355102,QuarterCore,1,1,0.00066
19DD0002,CU_CLIFF,40377848,193,196,101607.6798,2189144.155,1053.390682,QuarterCore,1,6,0.00192
19DD0002,CU_CLIFF,40377849,196,199,101607.5019,2189143.73,1050.426262,QuarterCore,1,18,0.00534
19DD0002,CU_CLIFF,40377851,199,202,101607.3212,2189143.306,1047.461964,QuarterCore,1,25,0.0048
19DD0002,CU_CLIFF,40377852,202,204,101607.1683,2189142.952,1044.991817,QuarterCore,1,28,0.00529
19DD0002,CU_CLIFF,40377853,204,205.55,101607.0598,2189142.701,1043.238012,QuarterCore,1,46,0.01155
19DD0002,CU_CLIFF,40377854,205.55,207.62,101606.9491,2189142.445,1041.449625,QuarterCore,1,63,0.0143
19DD0002,CU_CLIFF,40377855,207.62,210,101606.813,2189142.131,1039.251194,QuarterCore,1,18,0.0204
19DD0002,CU_CLIFF,40377856,210,212,101606.6773,2189141.821,1037.08743,QuarterCore,1,15,0.0132
19DD0002,CU_CLIFF,40377857,212,213.56,101606.5653,2189141.57,1035.328836,QuarterCore,1,19,0.0133
19DD0002,CU_CLIFF,40377858,213.56,214.16,101606.4973,2189141.417,1034.261824,QuarterCore,1,36,0.0244
19DD0002,CU_CLIFF,40377859,214.16,216.83,101606.3944,2189141.186,1032.646487,QuarterCore,1,15,0.00704
